                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1032,                0.59724,                 1.0975,                0.63282,                0.76457,                0.72245,                0.47388,                 1.1723,                0.54624,                 1.1795,               0.006634,               0.006634,               0.006634
                     36,                 1.0998,                0.59476,                 1.0904,                0.61629,                0.74643,                0.72358,                0.45728,                 1.1639,                0.54545,                 1.1725,               0.006535,               0.006535,               0.006535
                     37,                 1.0895,                0.58958,                 1.0866,                0.71375,                0.69511,                0.72136,                0.49349,                 1.1689,                0.54262,                  1.176,               0.006436,               0.006436,               0.006436
                     38,                 1.0829,                0.58258,                 1.0791,                0.71588,                0.69386,                0.71909,                0.48667,                 1.1743,                 0.5428,                 1.1786,               0.006337,               0.006337,               0.006337
                     39,                 1.0824,                0.57891,                 1.0847,                 0.6948,                0.71285,                0.72105,                0.48993,                 1.1754,                 0.5399,                 1.1825,               0.006238,               0.006238,               0.006238
                     40,                  1.075,                0.57182,                 1.0769,                0.66094,                0.75355,                0.72198,                0.46438,                 1.1746,                0.53837,                 1.1831,               0.006139,               0.006139,               0.006139
                     41,                 1.0728,                0.56887,                 1.0773,                0.71336,                 0.6914,                0.71737,                0.46088,                 1.1773,                0.53809,                 1.1872,                0.00604,                0.00604,                0.00604
                     42,                 1.0644,                0.56549,                 1.0731,                0.68692,                0.72794,                 0.7232,                 0.4626,                 1.1769,                0.53696,                  1.184,               0.005941,               0.005941,               0.005941
                     43,                 1.0605,                0.56128,                 1.0712,                 0.6372,                0.76182,                0.71891,                0.46121,                 1.1739,                0.53295,                 1.1825,               0.005842,               0.005842,               0.005842
                     44,                 1.0542,                0.55676,                  1.067,                0.64935,                0.75593,                0.72214,                0.44809,                  1.176,                0.53357,                 1.1875,               0.005743,               0.005743,               0.005743
                     45,                 1.0504,                 0.5489,                 1.0655,                0.65797,                0.73765,                0.71689,                0.46272,                 1.1741,                 0.5322,                 1.1861,               0.005644,               0.005644,               0.005644
                     46,                 1.0428,                0.54655,                  1.063,                0.61012,                0.77067,                0.71533,                0.46152,                 1.1748,                0.53666,                 1.1852,               0.005545,               0.005545,               0.005545
                     47,                 1.0402,                0.54172,                 1.0581,                0.70916,                0.58071,                0.72045,                0.49005,                  1.175,                0.53202,                 1.1868,               0.005446,               0.005446,               0.005446
                     48,                 1.0344,                0.53599,                 1.0592,                0.61532,                0.76638,                0.71616,                 0.4871,                 1.1782,                0.53007,                 1.1931,               0.005347,               0.005347,               0.005347
                     49,                   1.03,                0.53528,                 1.0557,                0.61607,                0.76754,                0.71814,                0.48956,                 1.1809,                0.53145,                 1.1972,               0.005248,               0.005248,               0.005248
                     50,                 1.0289,                0.53162,                 1.0575,                0.68451,                0.70421,                0.71456,                0.47681,                 1.1845,                0.52924,                 1.2018,               0.005149,               0.005149,               0.005149
                     51,                 1.0174,                0.52362,                 1.0496,                 0.6966,                0.69204,                0.72032,                0.46783,                 1.1869,                0.52691,                 1.2026,                0.00505,                0.00505,                0.00505
                     52,                 1.0193,                0.52138,                 1.0485,                0.70648,                 0.6998,                0.71739,                0.46633,                 1.1864,                 0.5276,                 1.2026,               0.004951,               0.004951,               0.004951
                     53,                 1.0134,                0.51625,                 1.0456,                0.66049,                0.73184,                0.71661,                0.46309,                 1.1849,                0.52836,                 1.2035,               0.004852,               0.004852,               0.004852
                     54,                 1.0053,                0.51121,                 1.0409,                0.67815,                0.72526,                0.71599,                0.46402,                 1.1835,                0.52942,                 1.2021,               0.004753,               0.004753,               0.004753
                     55,                 1.0006,                0.51349,                 1.0388,                0.61571,                0.75425,                0.71928,                 0.4662,                  1.182,                0.52834,                 1.2042,               0.004654,               0.004654,               0.004654
                     56,                0.99331,                0.50495,                 1.0409,                0.64168,                0.75281,                0.71765,                0.46554,                 1.1816,                0.52831,                 1.2063,               0.004555,               0.004555,               0.004555
                     57,                0.99286,                  0.503,                 1.0372,                0.62963,                 0.7822,                0.71593,                0.47638,                 1.1813,                0.52747,                 1.2069,               0.004456,               0.004456,               0.004456
                     58,                0.98808,                0.50165,                  1.031,                0.61969,                0.79542,                0.71643,                0.46439,                 1.1823,                0.52794,                 1.2088,               0.004357,               0.004357,               0.004357
                     59,                0.97708,                0.49487,                  1.028,                0.61588,                0.78984,                0.71699,                0.46584,                 1.1828,                0.52542,                   1.21,               0.004258,               0.004258,               0.004258
                     60,                0.96978,                  0.486,                 1.0251,                0.62405,                0.76631,                0.71592,                0.46341,                 1.1826,                 0.5245,                 1.2106,               0.004159,               0.004159,               0.004159
                     61,                0.97118,                 0.4859,                 1.0247,                0.57668,                0.76819,                0.71365,                0.46282,                 1.1836,                0.52388,                  1.213,                0.00406,                0.00406,                0.00406
