                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1764,                0.92534,                  1.136,                0.41392,                0.68615,                0.52026,                0.35831,                 1.2286,                0.99165,                 1.2004,               0.003268,               0.003268,               0.003268
                     36,                 1.1709,                 0.9206,                 1.1348,                0.51284,                0.88537,                0.56569,                0.38666,                  1.252,                 0.9745,                 1.2071,                0.00307,                0.00307,                0.00307
                     37,                 1.1691,                0.91323,                 1.1347,                0.48701,                0.89595,                0.57587,                0.39658,                  1.217,                0.97774,                 1.1938,               0.002872,               0.002872,               0.002872
                     38,                 1.1682,                 0.9097,                 1.1272,                0.51289,                0.84383,                0.66089,                0.47955,                 1.2038,                0.96612,                 1.1841,               0.002674,               0.002674,               0.002674
                     39,                 1.1585,                    0.9,                 1.1278,                0.50555,                0.85833,                0.66588,                0.49215,                 1.2244,                0.97011,                 1.1933,               0.002476,               0.002476,               0.002476
                     40,                 1.1542,                0.89425,                 1.1253,                0.49007,                0.87073,                0.65637,                 0.4829,                 1.2066,                0.95828,                 1.1909,               0.002278,               0.002278,               0.002278
                     41,                 1.1522,                0.88532,                 1.1234,                0.49445,                0.87073,                0.66182,                0.51305,                 1.1818,                0.95061,                 1.1772,                0.00208,                0.00208,                0.00208
                     42,                 1.1453,                0.88385,                 1.1203,                0.49222,                 0.8899,                0.66131,                 0.5162,                 1.2128,                0.96052,                 1.1915,               0.001882,               0.001882,               0.001882
                     43,                 1.1391,                0.87935,                 1.1191,                0.51582,                0.90418,                0.66783,                0.50194,                 1.2002,                0.95783,                 1.1737,               0.001684,               0.001684,               0.001684
                     44,                 1.1345,                0.87341,                 1.1166,                0.51246,                0.89477,                0.66949,                0.48467,                  1.201,                0.95793,                 1.1717,               0.001486,               0.001486,               0.001486
                     45,                 1.1356,                 0.8811,                 1.1125,                0.50074,                0.86886,                0.67161,                0.51216,                   1.22,                0.93696,                  1.191,               0.001288,               0.001288,               0.001288
                     46,                 1.1223,                 0.8629,                 1.1113,                0.52136,                0.86325,                0.77012,                0.58512,                  1.222,                0.94067,                 1.1859,                0.00109,                0.00109,                0.00109
                     47,                 1.1179,                0.85832,                 1.1067,                0.52115,                0.87881,                0.76753,                0.56594,                 1.2049,                0.93252,                 1.1822,               0.000892,               0.000892,               0.000892
                     48,                 1.1184,                 0.8506,                 1.1051,                0.52293,                0.86203,                0.67159,                0.48968,                 1.1804,                0.93646,                 1.1739,               0.000694,               0.000694,               0.000694
                     49,                 1.1079,                 0.8478,                 1.1031,                0.53152,                0.87497,                0.67405,                0.49094,                 1.2064,                0.94337,                 1.1849,               0.000496,               0.000496,               0.000496
