                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1481,                0.66086,                 1.0594,                0.67943,                0.72429,                0.71486,                0.45321,                 1.1678,                0.57389,                 1.0903,               0.006634,               0.006634,               0.006634
                     36,                 1.1469,                0.65744,                 1.0554,                0.72596,                0.57731,                0.65443,                0.41212,                 1.1671,                0.57163,                 1.0889,               0.006535,               0.006535,               0.006535
                     37,                 1.1408,                0.65421,                 1.0535,                0.68885,                0.69514,                0.71991,                0.45693,                 1.1674,                0.57612,                 1.0859,               0.006436,               0.006436,               0.006436
                     38,                 1.1328,                0.64792,                 1.0462,                0.69098,                0.72132,                0.72561,                0.44961,                 1.1686,                0.57178,                 1.0868,               0.006337,               0.006337,               0.006337
                     39,                 1.1332,                0.64129,                 1.0477,                0.51359,                0.73363,                0.65083,                0.41288,                 1.1734,                0.56858,                 1.0916,               0.006238,               0.006238,               0.006238
                     40,                 1.1298,                0.63757,                 1.0466,                0.62065,                0.75671,                0.73022,                0.43754,                 1.1696,                0.56322,                 1.0898,               0.006139,               0.006139,               0.006139
                     41,                 1.1247,                0.63376,                 1.0454,                0.70554,                0.59959,                0.65759,                0.40966,                 1.1718,                0.56271,                 1.0892,                0.00604,                0.00604,                0.00604
                     42,                 1.1192,                0.63254,                 1.0417,                0.56497,                0.78325,                0.71383,                0.43585,                 1.1684,                0.55868,                 1.0865,               0.005941,               0.005941,               0.005941
                     43,                 1.1205,                0.62613,                 1.0438,                0.59929,                0.65756,                0.71718,                0.46271,                 1.1691,                0.55733,                 1.0899,               0.005842,               0.005842,               0.005842
                     44,                 1.1146,                0.62224,                 1.0407,                0.65402,                0.73737,                0.71359,                0.46803,                 1.1723,                0.55716,                 1.0942,               0.005743,               0.005743,               0.005743
                     45,                 1.1127,                0.61951,                 1.0364,                 0.6683,                0.74386,                0.71961,                0.47176,                 1.1713,                0.55625,                 1.0936,               0.005644,               0.005644,               0.005644
                     46,                 1.1069,                0.61619,                 1.0349,                0.74491,                0.57292,                0.72048,                0.46122,                 1.1736,                0.55271,                 1.0922,               0.005545,               0.005545,               0.005545
                     47,                 1.1021,                 0.6103,                 1.0329,                0.76216,                0.56894,                0.71906,                0.47372,                 1.1714,                0.55302,                 1.0901,               0.005446,               0.005446,               0.005446
                     48,                 1.0976,                0.60728,                 1.0343,                0.59039,                0.80347,                0.71919,                0.47569,                 1.1716,                0.55203,                 1.0927,               0.005347,               0.005347,               0.005347
                     49,                 1.0976,                0.60489,                 1.0319,                0.74579,                0.57817,                0.72506,                0.45509,                 1.1737,                0.55157,                 1.0939,               0.005248,               0.005248,               0.005248
                     50,                 1.0923,                0.60281,                  1.031,                0.75586,                0.57041,                0.72842,                0.48076,                 1.1746,                0.55044,                 1.0958,               0.005149,               0.005149,               0.005149
                     51,                 1.0864,                0.59463,                 1.0269,                0.75352,                0.58765,                0.63436,                 0.4056,                 1.1754,                0.54723,                 1.0953,                0.00505,                0.00505,                0.00505
                     52,                 1.0895,                0.59233,                 1.0279,                0.75036,                0.56743,                0.62827,                0.40387,                  1.175,                0.54598,                 1.0947,               0.004951,               0.004951,               0.004951
                     53,                 1.0836,                0.58697,                 1.0247,                0.75304,                 0.5777,                0.63838,                0.40621,                 1.1775,                0.54521,                 1.0962,               0.004852,               0.004852,               0.004852
                     54,                 1.0774,                0.58272,                 1.0224,                0.74672,                  0.568,                0.72343,                0.44096,                 1.1771,                 0.5437,                 1.0962,               0.004753,               0.004753,               0.004753
                     55,                 1.0779,                 0.5851,                 1.0228,                0.57222,                 0.7857,                0.72337,                   0.44,                 1.1782,                0.54258,                 1.0985,               0.004654,               0.004654,               0.004654
                     56,                 1.0695,                0.57845,                 1.0217,                0.57101,                0.78781,                0.72253,                0.43982,                 1.1782,                0.54045,                 1.0989,               0.004555,               0.004555,               0.004555
                     57,                 1.0718,                0.57529,                 1.0189,                0.57491,                0.79297,                0.72348,                0.44114,                 1.1787,                0.53994,                 1.0991,               0.004456,               0.004456,               0.004456
