                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4358,                 2.2964,                 1.3068,                0.72545,                0.33121,                0.37139,                0.22472,                 1.2863,                0.97146,                 1.2272,               0.070067,              0.0033258,              0.0033258
                      1,                 1.2949,                0.97135,                 1.1951,                0.76954,                0.36083,                0.39896,                0.23862,                 1.2963,                 0.9545,                 1.2189,               0.040001,              0.0065933,              0.0065933
                      2,                 1.3221,                0.98765,                 1.2067,                0.75768,                0.35174,                0.34824,                0.19269,                 1.3319,                0.95316,                 1.2398,              0.0098696,              0.0097947,              0.0097947
                      3,                 1.3438,                 1.0001,                 1.2319,                0.82952,                0.35401,                0.53353,                0.28577,                 1.3028,                0.86884,                 1.2403,               0.009703,               0.009703,               0.009703
                      4,                  1.318,                0.94004,                 1.2136,                0.74251,                0.53302,                0.54975,                0.26674,                 1.2777,                0.82795,                 1.2211,               0.009703,               0.009703,               0.009703
                      5,                 1.2963,                0.89757,                  1.206,                0.72182,                0.39868,                 0.4447,                 0.2644,                 1.2529,                0.81173,                 1.2017,               0.009604,               0.009604,               0.009604
                      6,                 1.2778,                0.86597,                 1.1905,                0.68927,                0.42982,                0.53601,                 0.2977,                 1.2381,                0.75275,                 1.1898,               0.009505,               0.009505,               0.009505
                      7,                 1.2639,                0.84126,                 1.1828,                0.47773,                0.66957,                0.61975,                0.33602,                  1.228,                0.73531,                  1.183,               0.009406,               0.009406,               0.009406
                      8,                 1.2531,                0.82502,                 1.1765,                0.70185,                0.51225,                0.54299,                0.31355,                 1.2253,                0.70558,                 1.1805,               0.009307,               0.009307,               0.009307
                      9,                  1.239,                0.80301,                 1.1675,                0.52346,                0.52498,                0.51431,                0.29162,                 1.2289,                0.72454,                 1.1812,               0.009208,               0.009208,               0.009208
