                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2053,                0.72642,                 1.1513,                0.55032,                0.71814,                0.64824,                0.38696,                 1.1808,                0.60957,                 1.1795,               0.006634,               0.006634,               0.006634
                     36,                 1.2014,                0.72494,                 1.1435,                0.56984,                0.55797,                0.60353,                0.37167,                  1.176,                0.61249,                 1.1765,               0.006535,               0.006535,               0.006535
                     37,                 1.1954,                0.71945,                 1.1445,                0.61351,                0.54337,                0.58184,                0.36969,                  1.178,                0.60721,                 1.1778,               0.006436,               0.006436,               0.006436
                     38,                 1.1914,                0.71569,                 1.1372,                0.70728,                0.55346,                0.58233,                0.37164,                   1.18,                0.60571,                 1.1795,               0.006337,               0.006337,               0.006337
                     39,                 1.1949,                0.71119,                  1.142,                0.71676,                0.56178,                 0.5874,                0.37543,                 1.1804,                0.60545,                 1.1774,               0.006238,               0.006238,               0.006238
                     40,                 1.1884,                0.70676,                 1.1371,                0.70037,                0.56759,                0.63484,                0.39655,                 1.1767,                0.59838,                  1.177,               0.006139,               0.006139,               0.006139
                     41,                 1.1898,                0.70827,                 1.1385,                0.61542,                0.54382,                0.61527,                0.38724,                 1.1757,                 0.6033,                 1.1758,                0.00604,                0.00604,                0.00604
                     42,                 1.1861,                0.70752,                 1.1379,                0.49136,                0.68232,                 0.6198,                0.38545,                 1.1745,                0.59893,                 1.1759,               0.005941,               0.005941,               0.005941
                     43,                 1.1852,                0.70153,                   1.14,                0.49941,                0.67784,                0.62332,                0.38819,                 1.1734,                0.59894,                 1.1763,               0.005842,               0.005842,               0.005842
                     44,                 1.1829,                0.69988,                 1.1363,                0.58265,                0.57737,                0.59002,                0.37653,                  1.175,                0.59667,                 1.1776,               0.005743,               0.005743,               0.005743
                     45,                 1.1801,                0.69388,                 1.1324,                0.70529,                0.58161,                0.59487,                0.37552,                 1.1775,                0.59447,                 1.1778,               0.005644,               0.005644,               0.005644
                     46,                 1.1766,                0.68964,                 1.1337,                0.71217,                0.55732,                0.58917,                0.37528,                 1.1772,                0.59015,                  1.179,               0.005545,               0.005545,               0.005545
                     47,                 1.1736,                 0.6882,                 1.1296,                0.71457,                0.56671,                0.59728,                0.38037,                 1.1754,                0.58716,                 1.1775,               0.005446,               0.005446,               0.005446
                     48,                 1.1722,                0.68626,                 1.1312,                0.72443,                0.55644,                 0.5894,                 0.3789,                 1.1742,                0.58624,                 1.1773,               0.005347,               0.005347,               0.005347
                     49,                  1.172,                0.68554,                 1.1285,                0.72066,                0.58049,                 0.5946,                0.38213,                 1.1749,                0.58359,                 1.1774,               0.005248,               0.005248,               0.005248
                     50,                 1.1715,                0.68182,                 1.1297,                0.74033,                0.55426,                0.58739,                0.38053,                 1.1745,                0.58335,                 1.1776,               0.005149,               0.005149,               0.005149
                     51,                 1.1659,                0.67569,                 1.1285,                0.72686,                0.56225,                0.58949,                0.38007,                 1.1744,                0.58177,                 1.1775,                0.00505,                0.00505,                0.00505
                     52,                 1.1693,                0.67721,                 1.1281,                 0.5912,                0.55472,                0.59038,                0.37916,                 1.1752,                0.58112,                 1.1768,               0.004951,               0.004951,               0.004951
                     53,                 1.1633,                0.67308,                 1.1242,                0.57763,                0.56796,                0.59766,                0.38252,                 1.1737,                0.58239,                 1.1764,               0.004852,               0.004852,               0.004852
                     54,                 1.1609,                0.66941,                 1.1232,                0.57678,                 0.5674,                0.59927,                0.38215,                 1.1746,                0.58097,                  1.178,               0.004753,               0.004753,               0.004753
                     55,                 1.1596,                0.67116,                 1.1234,                0.57631,                0.56869,                0.59753,                0.38174,                 1.1745,                0.57838,                 1.1781,               0.004654,               0.004654,               0.004654
