                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5302,                 2.1831,                 1.3313,                0.68107,                0.34155,                0.32438,                0.19366,                 1.4276,                 1.2459,                  1.327,               0.070067,              0.0033258,              0.0033258
                      1,                 1.3905,                 1.2392,                 1.2401,                 0.6529,                0.41582,                 0.4187,                0.24342,                 1.2966,                0.99633,                 1.2465,               0.039936,              0.0065273,              0.0065273
                      2,                  1.407,                 1.1852,                 1.2438,                0.57984,                0.35562,                0.36131,                0.20982,                 1.3649,                 1.1061,                 1.2829,              0.0096717,              0.0095968,              0.0095968
                      3,                 1.4189,                 1.1367,                 1.2566,                0.55321,                0.39142,                0.40796,                0.21621,                 1.3204,                0.97695,                  1.259,               0.009406,               0.009406,               0.009406
                      4,                 1.3797,                 1.0516,                 1.2389,                0.47394,                0.40689,                0.39244,                 0.2238,                   1.36,                0.96138,                 1.2786,               0.009406,               0.009406,               0.009406
                      5,                 1.3545,                0.99679,                 1.2265,                0.52638,                0.43837,                0.42451,                 0.2498,                 1.2821,                0.88621,                 1.2377,               0.009208,               0.009208,               0.009208
                      6,                 1.3305,                0.95119,                 1.2146,                0.57643,                0.41811,                0.45209,                0.27206,                 1.2764,                0.82368,                 1.2361,                0.00901,                0.00901,                0.00901
                      7,                 1.3183,                0.92472,                 1.2041,                0.58222,                0.49565,                0.48121,                0.27782,                 1.2735,                0.80115,                 1.2317,               0.008812,               0.008812,               0.008812
                      8,                 1.3106,                0.90894,                 1.2016,                0.60474,                0.46284,                0.49198,                0.29201,                 1.2606,                 0.7811,                 1.2278,               0.008614,               0.008614,               0.008614
                      9,                 1.2946,                0.87923,                 1.1942,                0.57683,                0.45365,                0.46875,                0.27995,                 1.2577,                 0.7933,                  1.227,               0.008416,               0.008416,               0.008416
                     10,                 1.2868,                0.86287,                 1.1886,                0.65542,                0.45309,                0.49423,                0.29031,                 1.2373,                0.74803,                 1.2138,               0.008218,               0.008218,               0.008218
                     11,                 1.2772,                 0.8478,                 1.1809,                0.66035,                0.46974,                0.50715,                0.29905,                   1.23,                0.74874,                 1.2085,                0.00802,                0.00802,                0.00802
                     12,                 1.2748,                0.84664,                  1.184,                 0.7868,                0.49377,                0.54092,                0.31913,                 1.2294,                0.73589,                 1.2032,               0.007822,               0.007822,               0.007822
                     13,                 1.2672,                0.82996,                 1.1792,                 0.7296,                0.48177,                0.51349,                0.31071,                 1.2336,                 0.7219,                 1.2048,               0.007624,               0.007624,               0.007624
                     14,                 1.2583,                0.82273,                 1.1757,                0.76811,                0.49019,                0.52215,                0.31923,                 1.2128,                0.71108,                 1.1967,               0.007426,               0.007426,               0.007426
                     15,                 1.2547,                0.80895,                 1.1741,                0.76863,                0.50944,                0.55651,                0.33288,                 1.2214,                0.70753,                 1.2023,               0.007228,               0.007228,               0.007228
                     16,                 1.2491,                0.80189,                  1.171,                0.66014,                0.50379,                0.54241,                0.32977,                 1.2027,                0.69178,                 1.1924,                0.00703,                0.00703,                0.00703
                     17,                 1.2445,                0.78964,                 1.1633,                 0.6682,                0.50858,                0.56199,                0.34689,                 1.2072,                 0.6966,                 1.1896,               0.006832,               0.006832,               0.006832
                     18,                 1.2457,                 0.7867,                 1.1666,                0.65734,                0.53117,                0.66523,                0.39783,                 1.2034,                0.67373,                  1.189,               0.006634,               0.006634,               0.006634
                     19,                 1.2363,                0.77816,                 1.1591,                0.70533,                0.55046,                0.68778,                0.38459,                 1.1973,                0.66723,                 1.1869,               0.006436,               0.006436,               0.006436
                     20,                  1.228,                0.76617,                   1.16,                0.66871,                0.55589,                0.55019,                0.34179,                 1.1897,                0.66817,                 1.1829,               0.006238,               0.006238,               0.006238
                     21,                 1.2273,                0.76713,                  1.159,                0.66904,                0.55372,                0.55888,                0.34457,                 1.1986,                0.66054,                 1.1848,                0.00604,                0.00604,                0.00604
                     22,                 1.2206,                0.75702,                 1.1546,                0.65867,                0.54582,                 0.5773,                0.36506,                 1.1952,                 0.6513,                 1.1861,               0.005842,               0.005842,               0.005842
                     23,                 1.2153,                 0.7512,                  1.155,                0.64129,                0.54862,                0.55592,                 0.3489,                 1.1889,                0.64659,                 1.1829,               0.005644,               0.005644,               0.005644
                     24,                 1.2098,                0.74384,                 1.1486,                0.70459,                0.55646,                 0.5968,                 0.3722,                 1.1865,                0.63903,                 1.1808,               0.005446,               0.005446,               0.005446
                     25,                 1.2083,                0.74161,                 1.1534,                0.67185,                0.56046,                0.59481,                0.36142,                 1.1943,                 0.6391,                 1.1844,               0.005248,               0.005248,               0.005248
                     26,                  1.212,                0.73593,                 1.1496,                0.74547,                 0.5401,                0.57863,                 0.3661,                 1.1798,                0.62929,                 1.1794,                0.00505,                0.00505,                0.00505
                     27,                 1.2028,                0.72686,                 1.1433,                 0.7105,                0.55628,                0.57856,                 0.3613,                 1.1876,                0.62661,                  1.181,               0.004852,               0.004852,               0.004852
                     28,                 1.1997,                0.72294,                 1.1464,                0.50778,                 0.7201,                0.61925,                0.37885,                 1.1846,                0.61979,                 1.1813,               0.004654,               0.004654,               0.004654
                     29,                 1.1973,                0.72081,                 1.1417,                 0.7424,                0.53801,                0.57684,                 0.3662,                  1.183,                0.61517,                 1.1795,               0.004456,               0.004456,               0.004456
                     30,                 1.1948,                 0.7098,                 1.1426,                0.63692,                0.68998,                0.70599,                 0.3788,                  1.181,                0.61963,                 1.1789,               0.004258,               0.004258,               0.004258
                     31,                 1.1897,                0.70577,                 1.1416,                0.60898,                0.73033,                0.69666,                0.41607,                 1.1805,                0.60979,                 1.1766,                0.00406,                0.00406,                0.00406
                     32,                 1.1824,                0.69935,                 1.1357,                0.69459,                0.64503,                0.69329,                0.39216,                 1.1804,                0.60821,                 1.1786,               0.003862,               0.003862,               0.003862
                     33,                 1.1787,                0.69582,                 1.1359,                 0.7126,                0.65968,                0.70504,                0.38639,                 1.1768,                0.60289,                 1.1751,               0.003664,               0.003664,               0.003664
